Accession	Virus_Name	NCBI_Taxonomy	Viruses	Realm	Kingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species
YP_009553642	Blackcurrant-associated closterovirus 1	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Closteroviridae;Closterovirus;Blackcurrant closterovirus 1	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Closteroviridae	-	Closterovirus	-	Blackcurrant closterovirus 1
YP_009553643	Blackcurrant-associated closterovirus 1	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Closteroviridae;Closterovirus;Blackcurrant closterovirus 1	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Closteroviridae	-	Closterovirus	-	Blackcurrant closterovirus 1
YP_009553644	Blackcurrant-associated closterovirus 1	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Closteroviridae;Closterovirus;Blackcurrant closterovirus 1	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Closteroviridae	-	Closterovirus	-	Blackcurrant closterovirus 1
YP_009553645	Blackcurrant-associated closterovirus 1	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Closteroviridae;Closterovirus;Blackcurrant closterovirus 1	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Closteroviridae	-	Closterovirus	-	Blackcurrant closterovirus 1
YP_009553646	Blackcurrant-associated closterovirus 1	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Closteroviridae;Closterovirus;Blackcurrant closterovirus 1	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Closteroviridae	-	Closterovirus	-	Blackcurrant closterovirus 1
YP_009553647	Blackcurrant-associated closterovirus 1	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Closteroviridae;Closterovirus;Blackcurrant closterovirus 1	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Closteroviridae	-	Closterovirus	-	Blackcurrant closterovirus 1
YP_009553648	Blackcurrant-associated closterovirus 1	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Closteroviridae;Closterovirus;Blackcurrant closterovirus 1	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Closteroviridae	-	Closterovirus	-	Blackcurrant closterovirus 1
YP_009553649	Blackcurrant-associated closterovirus 1	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Closteroviridae;Closterovirus;Blackcurrant closterovirus 1	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Closteroviridae	-	Closterovirus	-	Blackcurrant closterovirus 1
YP_009553650	Rana hepevirus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Hepelivirales;Hepeviridae	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Hepelivirales	-	Hepeviridae	-	-	-	-
YP_009553651	Rana hepevirus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Hepelivirales;Hepeviridae	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Hepelivirales	-	Hepeviridae	-	-	-	-
YP_009553652	Rana hepevirus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Hepelivirales;Hepeviridae	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Hepelivirales	-	Hepeviridae	-	-	-	-
YP_009553653	Areca palm necrotic spindle-spot virus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae;Arepavirus	Viruses	Riboviria	Orthornavirae	Pisuviricota	-	Stelpaviricetes	-	Patatavirales	-	Potyviridae	-	Arepavirus	-	-
YP_009553654	Grapevine associated tymo-like virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	-	-	-	-	-
YP_009553655	Grapevine associated tymo-like virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	-	-	-	-	-
YP_009553660	Blackcurrant leafroll-associated virus 1	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Closteroviridae;Closterovirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Closteroviridae	-	Closterovirus	-	-
YP_009553661	Blackcurrant leafroll-associated virus 1	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Closteroviridae;Closterovirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Closteroviridae	-	Closterovirus	-	-
YP_009553662	Blackcurrant leafroll-associated virus 1	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Closteroviridae;Closterovirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Closteroviridae	-	Closterovirus	-	-
